tweet,tweet_processed,5epoch_model,7epoch_model,15epoch_model,100epoch_model
"Modi's US visit this time has unleashed a wave of mainstream media critiques in the US like never before. And of course, the Congressional boycott. 

How many will they call anti India and Soros funded?",modi us visit time unleashed wave mainstream media critiques us like never course congressional boycott many call anti india soros funded,-0.33675355,0.460054,0.8090936,0.99856466
And it's all way more nuanced and hard hitting than I expected. Almost every outlet.,way nuanced hard hitting expected almost every outlet,0.29425162,0.4271552,-0.26003492,-0.5522557
"Btw have you noticed that the right wing media, other than Musk, has shown no warmth towards Modi or Sanghis. Sanghis randomly act like GOP's best friends. 

Much like a century ago with the 1930s sangh, the affinity they feel for white fascists is entirely one sided, lol.",btw noticed right wing media musk shown warmth towards modi sanghis sanghis randomly act like gop best friends much like century ago 1930s sangh affinity feel white fascists entirely one sided lol,0.7805949,0.9686066,-0.21961603,0.999387
"Wht is the accountability of Journalists?
Politicians have to come before PPL and r accountable.
Criticizing doesn't require much talent.
Taking decisions and implementation requires qualities.
PPL r learned and doesn't give much importance to these media reports.",wht accountability journalists politicians come ppl r accountable criticizing require much talent taking decisions implementation requires qualities ppl r learned give much importance media reports,-0.524321,-0.8690462,0.94117606,0.9992284
"Prepare to be pleasantly surprised as we reveal our footprints in the most unexpected corners! With innovation as our compass, we're making waves far and wide by spreading warmth and wonder, pushing boundaries and leaving our mark on the world.",prepare pleasantly surprised reveal footprints unexpected corners innovation compass making waves far wide spreading warmth wonder pushing boundaries leaving mark world,0.27191046,0.8775468,0.76860315,0.9956744
"Yaayyyy....

The usual suspect....

TheAtlantic.....",yaayyyy usual suspect theatlantic,0.10681501,0.071943976,-0.097013704,0.014366608
"From this piece, hard to read but one canâ€™t help but feel awful about the state of things. Iâ€™m also quite ashamed of our NRIs here breathlessly taking in propaganda, plus the assumptions about being from Pak",piece hard read one help feel awful state things also quite ashamed nris breathlessly taking propaganda plus assumptions pak,0.34444657,0.00833678,-0.43898427,-0.22275722
Best wishes to Mirza,best wishes mirza,-0.49403927,-0.6853379,0.024561893,0.20997041
"I certainly don't eat parathas and I love my medu vada, idli , dosa.",certainly eat parathas love medu vada idli dosa,-0.2575099,-0.56057364,0.33775955,0.8611625
It's worse than what you predicted a few weeks ago,worse predicted weeks ago,0.3689944,0.53670275,-0.1794764,0.055714566
Sorry Doc Singhvi. We south Indians have heard this joke forever & there is no malice. I have even heard versions which had Sardars who opened a dhaba there after partition. Current campaign against PrakashRaj variant of Manishankar called me chaiwala theme. Not buying it,sorry doc singhvi south indians heard joke forever malice even heard versions sardars opened dhaba partition current campaign prakashraj variant manishankar called chaiwala theme buying,-0.053516507,-0.1524801,-0.010688321,0.05453515
